epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.91,2.12592,1.99453,2.30556,0.70088,0.66402,0.7158,0.35321,1.7905,1.42563,2.17422,0.000332837,0.000332837,0.0670491
2,340.947,2.03333,1.79871,2.21171,0.71625,0.67307,0.72709,0.36113,1.79021,1.38871,2.16962,0.000662873,0.000662873,0.0340458
3,504.034,2.01475,1.7764,2.1859,0.70332,0.64732,0.71334,0.35608,1.80697,1.39691,2.16723,0.000989609,0.000989609,0.00103921
4,667.269,2.01322,1.76619,2.19248,0.73659,0.6743,0.74511,0.37293,1.79906,1.43712,2.19178,0.00098515,0.00098515,0.00098515
5,842,1.98288,1.72445,2.16801,0.70278,0.66444,0.7205,0.36693,1.76424,1.37634,2.13214,0.0009802,0.0009802,0.0009802
6,1006.61,1.9771,1.70175,2.15294,0.73508,0.67278,0.74726,0.37352,1.7683,1.35529,2.14567,0.00097525,0.00097525,0.00097525
7,1170.79,1.94033,1.68663,2.13342,0.72684,0.69548,0.75505,0.39362,1.72317,1.32725,2.12094,0.0009703,0.0009703,0.0009703
8,1329.42,1.93869,1.67393,2.12064,0.73763,0.71773,0.77707,0.41035,1.72116,1.30184,2.10571,0.00096535,0.00096535,0.00096535
9,1485,1.93719,1.65852,2.12172,0.75844,0.72633,0.78682,0.42181,1.7168,1.25028,2.10767,0.0009604,0.0009604,0.0009604
10,1650.63,1.92212,1.63825,2.1066,0.74026,0.7269,0.7809,0.41491,1.70979,1.2726,2.08782,0.00095545,0.00095545,0.00095545
11,1816.86,1.95222,1.65284,2.1256,0.77671,0.71804,0.79134,0.42497,1.68043,1.24855,2.0658,0.0009505,0.0009505,0.0009505
12,1973.43,1.92048,1.63753,2.12475,0.76431,0.73144,0.78819,0.42079,1.69527,1.26073,2.07592,0.00094555,0.00094555,0.00094555
13,2143.62,1.92364,1.62939,2.11401,0.77979,0.71904,0.7902,0.425,1.70285,1.21738,2.04771,0.0009406,0.0009406,0.0009406
14,2311.27,1.90547,1.60883,2.09938,0.77336,0.74539,0.81142,0.42628,1.69646,1.18499,2.07603,0.00093565,0.00093565,0.00093565
15,2476.07,1.91196,1.61923,2.10755,0.78326,0.74626,0.81033,0.44535,1.64546,1.19586,2.03622,0.0009307,0.0009307,0.0009307
16,2638.33,1.90027,1.59381,2.09119,0.79746,0.7558,0.81933,0.44937,1.65554,1.17194,2.03875,0.00092575,0.00092575,0.00092575
17,2807.45,1.89733,1.58383,2.08715,0.80197,0.76827,0.8294,0.45802,1.64834,1.15881,2.02646,0.0009208,0.0009208,0.0009208
18,2981.03,1.88264,1.56801,2.08751,0.77837,0.77133,0.82646,0.4554,1.64316,1.13149,2.03362,0.00091585,0.00091585,0.00091585
19,3152.06,1.88178,1.55967,2.07738,0.80164,0.77278,0.82114,0.45458,1.62363,1.15307,2.00041,0.0009109,0.0009109,0.0009109
20,3322.95,1.88221,1.55552,2.07687,0.80192,0.75977,0.83093,0.45667,1.64352,1.14862,2.03104,0.00090595,0.00090595,0.00090595
21,3486.9,1.88178,1.56224,2.0739,0.80782,0.76632,0.83053,0.45977,1.62163,1.16005,2.01624,0.000901,0.000901,0.000901
22,3648.93,1.86025,1.5201,2.05974,0.81733,0.76383,0.84239,0.46803,1.63119,1.12994,2.02549,0.00089605,0.00089605,0.00089605
23,3809.57,1.86785,1.53275,2.05733,0.80844,0.77044,0.83288,0.47492,1.6094,1.11281,1.98533,0.0008911,0.0008911,0.0008911
24,3982.8,1.85375,1.51698,2.06008,0.80716,0.78402,0.83535,0.47458,1.59548,1.10705,1.99724,0.00088615,0.00088615,0.00088615
25,4149.65,1.84057,1.50121,2.04263,0.81498,0.7902,0.84869,0.48725,1.57178,1.09207,1.98026,0.0008812,0.0008812,0.0008812
26,4306.33,1.83488,1.50523,2.03792,0.83999,0.8021,0.85992,0.497,1.55758,1.05627,1.95074,0.00087625,0.00087625,0.00087625
27,4469.91,1.83344,1.47832,2.02157,0.82156,0.79745,0.85054,0.48756,1.56462,1.06845,1.94179,0.0008713,0.0008713,0.0008713
28,4639.66,1.82234,1.48176,2.03664,0.84093,0.77745,0.85581,0.49192,1.56709,1.07101,1.93889,0.00086635,0.00086635,0.00086635
29,4810.54,1.82082,1.4559,2.02061,0.83949,0.78146,0.86153,0.49603,1.56216,1.06052,1.94889,0.0008614,0.0008614,0.0008614
30,4977.62,1.81788,1.46706,2.00865,0.84546,0.80063,0.86298,0.50085,1.54912,1.0308,1.93979,0.00085645,0.00085645,0.00085645
31,5139.58,1.81549,1.46779,2.01911,0.84938,0.79953,0.8691,0.51085,1.52552,1.03173,1.90699,0.0008515,0.0008515,0.0008515
32,5307.9,1.79956,1.45533,2.01225,0.82588,0.80251,0.86672,0.51548,1.50885,1.01469,1.88434,0.00084655,0.00084655,0.00084655
33,5468.07,1.78833,1.44201,2.00043,0.81937,0.79981,0.86628,0.51551,1.51382,1.02531,1.89932,0.0008416,0.0008416,0.0008416
34,5632.24,1.79093,1.4342,1.98759,0.84301,0.78943,0.8642,0.50437,1.54485,1.01618,1.91367,0.00083665,0.00083665,0.00083665
35,5799.85,1.79236,1.43611,1.98814,0.85222,0.8072,0.87578,0.5256,1.47919,0.99462,1.86247,0.0008317,0.0008317,0.0008317
36,5969.62,1.78363,1.42369,1.98974,0.85542,0.80827,0.87647,0.5278,1.48448,0.995,1.88098,0.00082675,0.00082675,0.00082675
37,6134.45,1.76505,1.40619,1.97984,0.8343,0.81332,0.87028,0.52378,1.48934,0.99679,1.86397,0.0008218,0.0008218,0.0008218
38,6304.77,1.76737,1.40978,1.96145,0.85225,0.80613,0.87988,0.53734,1.46281,0.96638,1.85148,0.00081685,0.00081685,0.00081685
39,6464.5,1.7737,1.40852,1.98747,0.83373,0.8152,0.87501,0.53084,1.47199,0.96741,1.86069,0.0008119,0.0008119,0.0008119
40,6632.18,1.75289,1.39394,1.96833,0.84616,0.82484,0.87935,0.54153,1.44424,0.96164,1.83652,0.00080695,0.00080695,0.00080695
41,6798.52,1.75454,1.38037,1.95986,0.85592,0.81957,0.88398,0.54037,1.46434,0.94619,1.83425,0.000802,0.000802,0.000802
42,6963.65,1.74164,1.37516,1.9637,0.85882,0.80003,0.87727,0.54994,1.41825,0.94903,1.81304,0.00079705,0.00079705,0.00079705
43,7127.64,1.73426,1.3696,1.94996,0.86993,0.81571,0.8863,0.5468,1.43036,0.93043,1.81107,0.0007921,0.0007921,0.0007921
44,7296.66,1.73355,1.36837,1.9497,0.85642,0.81465,0.88583,0.55096,1.43416,0.9339,1.80776,0.00078715,0.00078715,0.00078715
45,7462.12,1.74425,1.36344,1.95995,0.87272,0.82198,0.89045,0.54923,1.42975,0.92923,1.82673,0.0007822,0.0007822,0.0007822
46,7629.45,1.73382,1.34863,1.93883,0.86425,0.81394,0.8915,0.55561,1.42429,0.92537,1.80572,0.00077725,0.00077725,0.00077725
47,7796.44,1.72488,1.34996,1.94193,0.86193,0.83285,0.89266,0.56271,1.40202,0.90907,1.80042,0.0007723,0.0007723,0.0007723
48,7954.72,1.70402,1.33515,1.91812,0.86917,0.82533,0.88691,0.55313,1.41027,0.91685,1.79869,0.00076735,0.00076735,0.00076735
49,8114.89,1.71046,1.34128,1.93312,0.88816,0.82427,0.89919,0.56244,1.39529,0.90155,1.78467,0.0007624,0.0007624,0.0007624
50,8280.02,1.74484,1.3674,1.94765,0.88494,0.826,0.89909,0.56254,1.40602,0.89302,1.80217,0.00075745,0.00075745,0.00075745
51,8450.79,1.71027,1.32187,1.92954,0.87531,0.82912,0.89827,0.57139,1.38793,0.88555,1.77577,0.0007525,0.0007525,0.0007525
